Comparison,Test,Statistic,p_value,Effect size,Estimate,CI_low,CI_high,95% CI
NPS: focus vs prior,Welch's t-test,t=-0.463,0.6435,Cohen's d,-0.034,-0.171,0.11,"[-0.171, +0.110]"
Needs met: agreement vs quality wording (within focus),Welch's t-test,t=3.474,0.0006,Cohen's d,0.366,0.161,0.582,"[+0.161, +0.582]"
Needs met (legacy wording only): focus vs prior,Welch's t-test,t=-0.002,0.9983,Cohen's d,-0.0,-0.187,0.19,"[-0.187, +0.190]"
Positive difference: focus vs prior,Mann-Whitney U,U=67383.000,0.0014,Rank-biserial r,0.129,0.052,0.205,"[+0.052, +0.205]"
Gave choices: focus vs prior,Two-proportion z-test,z=-2.573,0.0101,Risk difference (pp),-6.518,-11.614,-1.536,"[-11.614, -1.536]"
Barriers reported: focus vs prior,Two-proportion z-test,z=1.166,0.2435,Risk difference (pp),3.103,-2.111,8.394,"[-2.111, +8.394]"
Informed about case: focus vs prior,Mann-Whitney U,U=69703.500,0.9962,Rank-biserial r,-0.0,-0.079,0.077,"[-0.079, +0.077]"
